inspection_id,equipment_id,equipment_type,unit_area,inspection_date,operating_hours,days_since_last_inspection,vibration_level,temperature_c,noise_db,oil_pressure_bar,battery_voltage,warning_count,maintenance_history_count,status_label
INS-0001,EQ-GEN-001,generator,training_support,2026-06-01,118,6,0.18,52.4,61.2,4.8,24.6,0,1,normal
INS-0002,EQ-GEN-002,generator,training_support,2026-06-01,242,14,0.36,64.8,68.1,4.3,24.1,1,2,caution
INS-0003,EQ-GEN-003,generator,training_support,2026-06-02,391,28,0.72,82.5,79.4,3.5,22.8,4,5,needs_inspection
INS-0004,EQ-COM-001,communication,command_post,2026-06-02,84,5,0.10,38.6,45.8,5.0,25.1,0,0,normal
INS-0005,EQ-COM-002,communication,command_post,2026-06-03,176,11,0.27,47.2,53.3,4.7,24.3,1,1,normal
INS-0006,EQ-COM-003,communication,command_post,2026-06-03,288,19,0.51,58.4,66.9,4.1,23.2,2,3,caution
INS-0007,EQ-VEH-001,vehicle,transport,2026-06-04,135,8,0.31,57.9,70.4,4.5,24.0,1,2,normal
INS-0008,EQ-VEH-002,vehicle,transport,2026-06-04,326,22,0.63,75.7,82.1,3.8,23.0,3,4,caution
INS-0009,EQ-VEH-003,vehicle,transport,2026-06-05,457,34,0.81,91.2,88.6,3.1,21.9,5,6,needs_inspection
INS-0010,EQ-PMP-001,pump,maintenance,2026-06-05,96,4,0.16,49.8,58.2,4.9,24.7,0,1,normal
INS-0011,EQ-PMP-002,pump,maintenance,2026-06-06,213,13,0.42,66.3,71.5,4.2,23.7,2,2,caution
INS-0012,EQ-PMP-003,pump,maintenance,2026-06-06,376,26,0.76,86.9,84.7,3.3,22.1,4,5,needs_inspection
INS-0013,EQ-GEN-004,generator,training_support,2026-06-07,154,9,0.24,55.0,63.7,4.6,24.5,0,1,normal
INS-0014,EQ-GEN-005,generator,training_support,2026-06-07,269,17,0.49,70.1,73.2,4.0,23.6,2,3,caution
INS-0015,EQ-GEN-006,generator,training_support,2026-06-08,421,31,0.88,89.5,86.2,3.0,21.7,6,7,needs_inspection
