log_id,equipment_type,log_text,status_label
LOG-0001,generator,정기 점검 결과 온도 진동 소음 모두 기준 범위이며 이상 징후 없음,normal
LOG-0002,vehicle,시동 상태 양호하고 누유 흔적 없으며 주행 전 점검 이상 없음,normal
LOG-0003,communication,전원 연결 정상이고 송수신 테스트 결과 안정적이며 추가 조치 불필요,normal
LOG-0004,pump,압력 수치 정상 범위이고 작동음 안정적이며 누수 없음,normal
LOG-0005,generator,연료 잔량 충분하고 출력 안정적이며 경고등 점등 없음,normal
LOG-0006,vehicle,타이어 공기압 정상 제동 상태 양호 등화 장치 이상 없음,normal
LOG-0007,communication,배터리 전압 정상 예비 안테나 상태 양호 통신 품질 안정,normal
LOG-0008,pump,작동 테스트 완료 진동 낮음 압력 유지 상태 양호,normal
LOG-0009,generator,냉각팬 정상 작동 외관 손상 없음 운용 가능 상태,normal
LOG-0010,vehicle,일일 점검 완료 오일량 정상 특이 사항 없음,normal
LOG-0011,communication,케이블 체결 상태 양호 표시등 정상 데이터 송수신 이상 없음,normal
LOG-0012,pump,밸브 작동 정상 압력 변화 안정적이며 추가 점검 불필요,normal
LOG-0013,generator,출력 전압 안정 소음 기준 이하 점검 결과 정상,normal
LOG-0014,vehicle,냉각수와 오일량 정상 주행 준비 상태 양호,normal
LOG-0015,communication,장비 재부팅 후 정상 작동 로그 오류 없음,normal
LOG-0016,pump,예방 점검 완료 누수 흔적 없고 압력 정상,normal
LOG-0017,generator,온도가 평소보다 약간 높으나 기준 이내이며 다음 점검 때 재확인 필요,caution
LOG-0018,vehicle,브레이크 소음이 간헐적으로 발생하여 운행 전 추가 확인 권장,caution
LOG-0019,communication,송신 품질이 일시적으로 저하되어 케이블 연결 상태 재점검 필요,caution
LOG-0020,pump,작동 중 미세 진동 증가가 관찰되어 다음 교대 전 확인 필요,caution
LOG-0021,generator,경고등은 없으나 출력 변동이 평소보다 커서 추적 관찰 필요,caution
LOG-0022,vehicle,타이어 마모가 진행 중이며 다음 정비 주기에 교체 검토 필요,caution
LOG-0023,communication,배터리 잔량 감소 속도가 빨라 예비 배터리 준비 필요,caution
LOG-0024,pump,압력은 유지되나 작동음이 평소보다 커져 원인 확인 필요,caution
LOG-0025,generator,냉각팬 먼지 축적 확인 청소 후 재점검 필요,caution
LOG-0026,vehicle,오일량은 정상이나 하부에 미세 오염 흔적 있어 관찰 필요,caution
LOG-0027,communication,안테나 접속부 흔들림 확인 고정 상태 보강 필요,caution
LOG-0028,pump,밸브 개폐가 다소 뻑뻑하여 윤활 조치 필요,caution
LOG-0029,generator,운용 시간 증가로 예방 정비 일정 조정 필요,caution
LOG-0030,vehicle,엔진음이 평소보다 거칠어 다음 운행 전 확인 권장,caution
LOG-0031,communication,수신 감도 저하 보고되어 주변 간섭 여부 확인 필요,caution
LOG-0032,pump,필터 오염이 일부 확인되어 교체 시기 검토 필요,caution
LOG-0033,generator,고온 경고등 점등 및 출력 불안정 발생 즉시 정비 필요,needs_inspection
LOG-0034,vehicle,제동 성능 저하 의심 운행 중지 후 정비반 확인 필요,needs_inspection
LOG-0035,communication,송수신 실패 반복 발생 장비 운용 중지 및 원인 점검 필요,needs_inspection
LOG-0036,pump,압력 급락과 누수 흔적 확인 즉시 사용 중지 필요,needs_inspection
LOG-0037,generator,비정상 소음과 진동 증가 확인 정비 전 운용 제한 필요,needs_inspection
LOG-0038,vehicle,엔진 경고등 점등 냉각수 누수 의심 즉시 점검 필요,needs_inspection
LOG-0039,communication,전원 불안정으로 장비가 반복 재시작되어 정비 필요,needs_inspection
LOG-0040,pump,모터 과열과 작동 중단 발생 예비 장비 전환 필요,needs_inspection
LOG-0041,generator,연료 계통 이상 의심 출력 유지 실패 정비 요청 필요,needs_inspection
LOG-0042,vehicle,타이어 손상 확인 운행 불가 교체 전 사용 금지,needs_inspection
LOG-0043,communication,주요 표시등 오류와 통신 두절 발생 정밀 점검 필요,needs_inspection
LOG-0044,pump,밸브 고착으로 압력 제어 불가 즉시 점검 필요,needs_inspection
LOG-0045,generator,배선 과열 흔적 확인 안전 조치 후 정비 필요,needs_inspection
LOG-0046,vehicle,오일 누유가 뚜렷하며 주행 안전성 저하 즉시 정비 필요,needs_inspection
LOG-0047,communication,배터리 팽창 의심 충전 중지 및 교체 점검 필요,needs_inspection
LOG-0048,pump,이상 진동으로 고정 상태 불량 의심 운용 중지 필요,needs_inspection
LOG-0049,generator,부하 변동 시 출력이 순간적으로 낮아져 예방 관찰 필요,caution
LOG-0050,vehicle,전조등 한쪽 밝기 저하 예비 부품 확인 필요,caution
LOG-0051,communication,간헐적 잡음 발생하나 기본 통신 가능 상태 추적 필요,caution
LOG-0052,pump,압력 게이지 반응이 느려 다음 점검 시 교정 필요,caution
LOG-0053,generator,외관과 출력 모두 정상이며 운용 가능 상태,normal
LOG-0054,vehicle,일일 운행 전 점검 정상 특이 사항 없음,normal
LOG-0055,communication,통신 시험 정상 예비 전원 상태 양호,normal
LOG-0056,pump,작동 압력 안정적이고 누수 소음 이상 없음,normal
LOG-0057,generator,시동 실패 반복 및 경고등 점등 정비 전 사용 금지,needs_inspection
LOG-0058,vehicle,핸들 조향 이상 보고 운행 중지 후 점검 필요,needs_inspection
LOG-0059,communication,수신 불가 상태 지속 장비 교체 또는 정비 필요,needs_inspection
LOG-0060,pump,펌프 작동 불능 예비 장비 사용 및 긴급 점검 필요,needs_inspection
